Open,High,Low,Close,Volume,Year,Month,Day,5_SMA,5_EMA,20_SMA,20_EMA,50_SMA,50_EMA,200_SMA,200_EMA,Cross,MACD,Stochastic_Oscillator
10539.240234375,10601.919921875,10519.5498046875,10546.2099609375,244430000,2005,11,9,10545.101953125,10530.043969661878,10391.66943359375,10439.377976808695,10441.6123828125,10438.027361814298,10499.862778320312,10451.969870218369,-58.250395507811845,40.34188178223485,0.8921311345958964
10541.16015625,10655.5302734375,10519.3896484375,10640.099609375,293350000,2005,11,10,10568.60390625,10566.729182899586,10412.844921875,10458.49432276739,10444.7823828125,10445.951763679424,10500.726274414063,10453.84180792142,-55.94389160156243,50.792213462549626,1.0
10640.099609375,10696.4501953125,10637.4296875,10686.0400390625,195880000,2005,11,11,10599.6599609375,10606.499468287224,10432.779931640625,10480.165343366925,10449.3105859375,10455.366990165036,10502.020473632812,10456.152238082028,-52.70988769531323,62.06573024171303,1.0
10686.599609375,10710.0595703125,10674.2802734375,10697.169921875,211290000,2005,11,14,10621.8478515625,10636.722952816483,10450.233447265626,10500.832446081979,10454.30658203125,10464.84945807523,10503.05662109375,10458.550423990417,-48.750039062500946,71.07880976323031,1.0
10697.169921875,10741.990234375,10664.26953125,10686.4404296875,267560000,2005,11,15,10651.1919921875,10653.295445106822,10470.29248046875,10518.509396901552,10456.2505859375,10473.53930009924,10503.72912109375,10460.81798623616,-47.47853515624956,76.47441047010943,0.9770354469695861
10683.0302734375,10712.2197265625,10652.26953125,10674.759765625,286000000,2005,11,16,10676.901953125,10660.450218612881,10483.323974609375,10533.390384399025,10457.07578125,10481.430298747311,10504.118969726562,10462.946760160426,-47.043188476562136,78.89843884264701,0.9238786463481786
10677.0,10727.669921875,10665.5498046875,10720.2197265625,274320000,2005,11,17,10692.9259765625,10680.373387929421,10505.27998046875,10551.18365508126,10459.56158203125,10490.794590034182,10504.7545703125,10465.506690174378,-45.1929882812492,83.52491449315494,1.0
10719.33984375,10796.259765625,10697.25,10766.330078125,351030000,2005,11,18,10708.983984375,10709.025617994614,10532.835498046876,10571.673790609237,10461.3169921875,10501.599903292645,10505.005571289063,10468.499957716174,-43.68857910156294,89.87611389391532,1.0
10766.330078125,10835.330078125,10761.0498046875,10820.2802734375,250280000,2005,11,21,10733.6060546875,10746.110503142243,10554.59951171875,10595.350598497644,10464.0637890625,10514.09717271009,10505.528173828125,10472.000259365142,-41.464384765624345,98.13161488646074,1.0
10815.9599609375,10877.4296875,10787.2197265625,10871.4296875,311190000,2005,11,22,10770.60390625,10787.88356459483,10579.277490234375,10621.643845069297,10469.54357421875,10528.110212505771,10506.262172851562,10475.97468153564,-36.718598632813155,107.56158613191474,1.0
10871.4296875,10950.75,10855.33984375,10916.08984375,236740000,2005,11,23,10818.869921875,10830.618990979887,10607.832958984374,10649.686321134124,10476.96736328125,10543.325100005546,10507.5220703125,10480.353936881056,-30.554707031249563,117.28660072727689,1.0
10916.08984375,10955.48046875,10914.490234375,10931.6201171875,122460000,2005,11,25,10861.15,10864.286033049091,10642.916455078124,10676.537158853494,10484.424765625,10558.552355581309,10508.432119140625,10484.844147630374,-24.007353515624345,124.80819692974183,1.0
10932.740234375,10951.9296875,10881.6298828125,10890.7197265625,259360000,2005,11,28,10886.0279296875,10873.097264220229,10667.31396484375,10696.935498635305,10489.4003515625,10571.578526992336,10508.905668945312,10488.882710604825,-19.505317382810972,126.01616054928127,0.8956357492786053
10888.48046875,10959.7900390625,10888.0703125,10888.16015625,255250000,2005,11,29,10899.60390625,10878.118228230152,10689.71845703125,10715.147370789084,10496.01095703125,10583.993492845577,10509.3908203125,10492.855620511742,-13.379863281248618,125.32230694365717,0.8872371154918157
10883.91015625,10924.8203125,10803.8701171875,10805.8701171875,257650000,2005,11,30,10886.4919921875,10854.035524549268,10709.673486328125,10723.787632350837,10502.49796875,10592.694536937417,10509.233569335938,10495.97019261797,-6.7356005859383,116.78606744772878,0.5686409819206276
10806.0302734375,10934.900390625,10806.0302734375,10912.5703125,256980000,2005,12,1,10885.7880859375,10873.547120532847,10731.665478515624,10741.766935222187,10513.18876953125,10605.238684998696,10509.622021484374,10500.115467442667,3.566748046876455,117.2789316573544,0.9258359471533124
10912.009765625,10921.3701171875,10861.66015625,10877.509765625,214900000,2005,12,2,10874.966015625,10874.868002230232,10749.411474609375,10754.694823831978,10522.29796875,10615.915982278158,10510.238271484375,10503.87063458876,12.059697265623981,113.53171404629393,0.7893394164052847
10876.9501953125,10876.9501953125,10810.669921875,10835.009765625,237340000,2005,12,5,10863.8240234375,10861.58192336182,10764.623974609374,10762.343865907505,10530.6063671875,10624.507895350584,10510.487221679687,10507.16555131549,20.1191455078133,105.91173769521993,0.6238798593289612
10835.41015625,10936.2001953125,10835.41015625,10856.8603515625,264630000,2005,12,6,10857.5640625,10860.00806609538,10778.15546875,10771.345435969886,10538.8709765625,10633.6197563785,10511.715522460938,10510.645101566703,27.15545410156301,100.47776606822117,0.7089478186484175
10856.8603515625,10868.0595703125,10764.009765625,10810.91015625,243490000,2005,12,7,10858.5720703125,10843.64209614692,10791.714990234375,10775.113504567991,10545.96498046875,10640.572321079346,10512.401123046875,10513.632813553602,33.56385742187558,91.40979247720497,0.4289984016556261
10808.4296875,10847.25,10729.669921875,10755.1201171875,253290000,2005,12,8,10827.08203125,10814.134769827113,10802.160498046875,10773.209372436515,10551.6055859375,10645.06439151496,10512.4327734375,10516.035672296228,39.172812499999054,78.81306028008657,0.0
10751.759765625,10805.9501953125,10729.91015625,10778.580078125,238930000,2005,12,9,10807.29609375,10802.28320592641,10809.084521484376,10773.720868216371,10556.12158203125,10650.300300793786,10512.11767578125,10518.648054443778,44.00390625,69.91712099496544,0.1329176257082153
10778.66015625,10811.7099609375,10735.1103515625,10767.76953125,254130000,2005,12,12,10793.848046875,10790.77864770094,10813.17099609375,10773.154074219574,10560.10296875,10654.906937282265,10512.12537109375,10521.126875108517,47.97759765624869,61.28821187847461,0.0716680683427762
10765.6904296875,10871.509765625,10751.3603515625,10823.7197265625,329050000,2005,12,13,10787.219921875,10801.75900732146,10819.498486328124,10777.969850633186,10565.86775390625,10661.527046665804,10512.093969726562,10524.137749252337,53.77378417968794,58.29249283061472,0.38866634206798867
10821.3203125,10919.76953125,10820.3203125,10883.509765625,336440000,2005,12,14,10801.73984375,10829.009260089308,10829.351953125,10788.021271108597,10574.7157421875,10670.23225133087,10512.451669921875,10527.713590211268,62.264072265625146,60.05069335558619,0.7274201044617564
10883.4296875,10938.740234375,10865.419921875,10881.669921875,297560000,2005,12,15,10827.0498046875,10846.562814017872,10839.6974609375,10796.940190229207,10586.00193359375,10678.523924685542,10512.694868164062,10531.23554376016,73.30706542968801,60.59709434118486,0.8037449838428571
10881.669921875,10940.33984375,10869.26953125,10875.58984375,419040000,2005,12,16,10846.4517578125,10856.238490595248,10847.465966796875,10804.430633421664,10597.77173828125,10686.251999942971,10512.370068359374,10534.661954705334,85.40166992187551,59.849600626585016,0.7651291020846126
10875.509765625,10922.41015625,10825.6396484375,10836.5302734375,331170000,2005,12,19,10860.20390625,10849.669084875997,10850.9759765625,10807.4877419946,10608.65615234375,10692.145265570209,10511.86841796875,10537.66561956834,96.78773437500058,55.46604751327686,0.5170533836964814
